"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","CD","CLOC","TCD","TCLOC","LLOC","LOC","NA","NCL","NM","NPKG","TLLOC","TLOC","TNA","TNCL","TNDI","TNFI","TNM","TNOS","TNPKG","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Basic Rules","Class Rules","Design Rules","Exception Rules","Format Rules","Import Rules","Logging Rules","Miscellaneous Rules","Newstyle Rules","Python3 Rules","Spelling Rules","Stdlib Rules","String Constant Rules","String Rules","Typecheck Rules","Variable Rules"
"L100","Python","Python","__LogicalRoot__","L103","0","0","0","0","0","0","0","0","0","0","0.305159","278","0","0","0","0","0","4","633","934","4","10","7","20","32","212","4","0","14","0","14","152","44","8","9","0","97","0","2","0","2","0","0","0","0","0","1","17"
"L104","dataset_readers","dataset_readers~Pk","L100","L103","0","0","0","0","0","0","0","0","0","0","0.300699","43","0","0","0","0","0","0","100","141","0","2","4","4","8","46","0","0","7","0","1","24","3","2","2","0","17","0","0","0","2","0","0","0","0","0","0","6"
"L163","speech_to_text","speech_to_text~Pk","L100","L103","0","0","0","0","0","0","0","0","0","0","0.232558","10","0","0","0","0","0","0","33","47","0","0","4","2","2","14","0","0","0","0","2","6","3","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0"
"L179","text_to_speech","text_to_speech~Pk","L100","L103","0","0","0","0","0","0","0","0","0","0","0.24","48","0","0","0","0","0","0","152","289","0","0","4","6","3","29","0","0","4","0","3","42","34","0","0","0","10","0","0","0","0","0","0","0","0","0","0","5"
"L237","vocabulary_importers","vocabulary_importers~Pk","L100","L103","0","0","0","0","0","0","0","0","0","0","0.337143","177","0","0","0","0","0","0","348","457","4","8","4","8","19","123","0","0","3","0","8","80","4","6","7","0","67","0","0","0","0","0","0","0","0","0","1","6"
