"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TCD","TCLOC","TLLOC","TLOC","TNA","TNCL","TNDI","TNFI","TNM","TNOS","TNPKG","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Basic Rules","Class Rules","Design Rules","Exception Rules","Format Rules","Import Rules","Logging Rules","Miscellaneous Rules","Newstyle Rules","Python3 Rules","Spelling Rules","Stdlib Rules","String Constant Rules","String Rules","Typecheck Rules","Variable Rules"
"L103","F:\Facultate -- Master 1\Metrici software si inginerie calitatii\SourceMeter-8.2.0-x64-windows\SourceMeter-8.2.0-x64-windows\Python\Final_results\seq2seq2\python\2020-01-31_23-55-33\sourcemeter\asg\seq2seq2.psi","F:\Facultate -- Master 1\Metrici software si inginerie calitatii\SourceMeter-8.2.0-x64-windows\SourceMeter-8.2.0-x64-windows\Python\Final_results\seq2seq2\python\2020-01-31_23-55-33\sourcemeter\asg\seq2seq2.psi","0","0","0","0","0","0","0","0","0","0","0","","0.305159","278","633","934","4","10","7","20","32","212","4","0","14","0","14","152","44","8","9","0","97","0","2","0","2","0","0","0","0","0","1","17"
"L102","<System>","<System>","0","0","0","0","0","0","0","0","0","0","0","","0.305159","278","633","934","4","10","7","20","32","212","4","0","14","0","14","152","44","8","9","0","97","0","2","0","2","0","0","0","0","0","1","17"
